date,Ramp/site,Catch area,# Interviews (Boat or Shore),Anglers,Chinook (per angler),Chinook,Coho,Chum,Pink,Sockeye,Lingcod,Halibut
"Sep 30, 2020",Olson's East Docks (*1159)*,"Area 5, Sekiu and Pillar Point",9,20,0,0,13,0,0,0,0,0
"Sep 30, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",26,62,0.05,3,41,0,0,0,0,0
"Sep 29, 2020","Ediz Hook, Port Angeles Public Ramp","Area 5, Sekiu and Pillar Point",7,12,0,0,0,0,0,0,0,1
"Sep 29, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",23,47,0,0,5,0,0,0,0,0
"Sep 28, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",18,45,0,0,13,0,0,0,0,0
"Sep 27, 2020",Olson's East Docks (*1159)*,"Area 5, Sekiu and Pillar Point",25,66,0,0,35,0,0,0,0,0
"Sep 27, 2020",Olson's West Docks (*1159)*,"Area 5, Sekiu and Pillar Point",21,50,0,0,37,0,0,0,0,0
"Sep 26, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",38,88,0,0,53,0,0,0,0,0
"Sep 26, 2020",Van Riper's South*,"Area 5, Sekiu and Pillar Point",24,62,0.02,1,54,0,0,0,0,0
"Sep 25, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",34,71,0,0,15,0,0,0,0,0
"Sep 25, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",14,39,0,0,34,0,0,0,0,0
"Sep 24, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",18,41,0,0,39,0,0,0,0,0
"Sep 24, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",20,58,0,0,39,0,0,0,0,0
"Sep 21, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",43,98,0,0,74,0,0,0,0,0
"Sep 21, 2020",Van Riper's North*,"Area 5, Sekiu and Pillar Point",17,39,0,0,34,0,0,0,0,0
"Sep 20, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",75,193,0.01,1,155,0,0,0,0,0
